Area,city,Obese
Atlanta-Sandy Springs-Marietta-GA Metro Area,Atlanta,28.70%
Boston-Quincy-MA Metro Division,Boston,22.00%
Chicago-Naperville-Joliet-IL-IN-WI Metro Area,Chicago,27.00%
Columbus-OH Metro Area,Columbus,30.50%
Dallas-Plano-Irving-TX Metro Division,Dallas,33.80%
Denver-Aurora-CO Metro Area,Denver,19.60%
Detroit-Livonia-Dearborn-MI Metro Division,Detroit,33.10%
Los Angeles-Long Beach-Glendale-CA Metro Division,Los Angeles,24.30%
Miami-Fort Lauderdale-Miami Beach-FL Metro Area,Miami,28.30%
Nashville-Davidson--Murfreesboro-TN Metro Area,Nashville,24.70%
New York-White Plains-Wayne-NY-NJ Metro Division,New York,21.90%
Philadelphia-PA Metro Division,Philadelphia,24.40%
Seattle-Bellevue-Everett-WA Metro Division,Seattle,22.80%
Washington-Arlington-Alexandria-DC-VA-MD-WV Metro,Washington,25.20%