city,state,population
New York,NY,
Los Angeles,CA,
Chicago,IL,
Houston,TX,
Phoenix,AZ,
Philadelphia,PA,
San Antonio,TX,
San Diego,CA,
Dallas,TX,
San Jose,CA,
Austin,TX,
Jacksonville,FL,
San Francisco,CA,
Columbus,OH,
Indianapolis,IN,
Fort Worth,TX,
Charlotte,NC,
Seattle,WA,
Denver,CO,
El Paso,TX,
Washington,DC,
Boston,MA,
Detroit,MI,
Nashville,TN,
Memphis,TN,
Portland,OR,
Oklahoma City,OK,
Las Vegas,NV,
Louisville,KY,
Baltimore,MD,
Milwaukee,WI,
Albuquerque,NM,
Tucson,AZ,
Fresno,CA,
Sacramento,CA,
Mesa,AZ,
Kansas City,MO,
Atlanta,GA,
Long Beach,CA,
Colorado Springs,CO,
Raleigh,NC,
Miami,FL,
Virginia Beach,VA,
Omaha,NE,
Oakland,CA,
Minneapolis,MN,
Tulsa,OK,
Arlington,TX,
New Orleans,LA,